Sep 29, 2018 1:25:57 PM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Sep 29, 2018 1:25:57 PM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Sep 29, 2018 1:25:57 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /Users/joshventocilla/Documents/apache-karaf-4.2.1/lock
Sep 29, 2018 1:25:57 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Sep 29, 2018 1:25:57 PM org.apache.karaf.main.Main$KarafLockCallback lockAcquired
INFO: Lock acquired. Setting startlevel to 100
2018-09-29T13:25:58,552 | INFO  | FelixStartLevel  | fileinstall                      | 10 - org.apache.felix.fileinstall - 3.6.4 | Creating configuration from jmx.acl.java.lang.Memory.cfg
2018-09-29T13:26:01,898 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   org.apache.karaf.bundle.core/4.2.1
2018-09-29T13:26:02,005 | INFO  | features-3-thread-1 | CommandExtension                 | 35 - org.apache.karaf.shell.core - 4.2.1 | Registering commands for bundle org.apache.karaf.bundle.core/4.2.1
2018-09-29T13:26:02,007 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 |   org.apache.karaf.event/4.2.1
2018-09-29T13:26:02,017 | INFO  | features-3-thread-1 | CommandExtension                 | 35 - org.apache.karaf.shell.core - 4.2.1 | Registering commands for bundle org.apache.karaf.event/4.2.1
2018-09-29T13:26:02,021 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.1 | Done.
2018-09-29T13:26:02,119 | INFO  | activator-1-thread-1 | CommandExtension                 | 35 - org.apache.karaf.shell.core - 4.2.1 | Registering commands for bundle org.apache.karaf.shell.ssh/4.2.1
2018-09-29T13:30:59,565 | INFO  | pipe-logout      | LogoutAction                     | 34 - org.apache.karaf.shell.commands - 4.2.1 | Disconnecting from current session...
2018-09-29T13:30:59,589 | INFO  | FelixStartLevel  | CommandExtension                 | 35 - org.apache.karaf.shell.core - 4.2.1 | Unregistering commands for bundle org.apache.karaf.event/4.2.1
2018-09-29T13:30:59,596 | INFO  | FelixStartLevel  | CommandExtension                 | 35 - org.apache.karaf.shell.core - 4.2.1 | Unregistering commands for bundle org.apache.karaf.system.core/4.2.1
2018-09-29T13:30:59,606 | INFO  | FelixStartLevel  | CommandExtension                 | 35 - org.apache.karaf.shell.core - 4.2.1 | Unregistering commands for bundle org.apache.karaf.shell.ssh/4.2.1
2018-09-29T13:30:59,627 | INFO  | FelixStartLevel  | CommandExtension                 | 35 - org.apache.karaf.shell.core - 4.2.1 | Unregistering commands for bundle org.apache.karaf.jaas.command/4.2.1
2018-09-29T13:30:59,629 | INFO  | FelixStartLevel  | CommandExtension                 | 35 - org.apache.karaf.shell.core - 4.2.1 | Unregistering commands for bundle org.apache.karaf.config.core/4.2.1
2018-09-29T13:30:59,631 | INFO  | FelixStartLevel  | CommandExtension                 | 35 - org.apache.karaf.shell.core - 4.2.1 | Unregistering commands for bundle org.apache.karaf.package.core/4.2.1
2018-09-29T13:30:59,632 | INFO  | FelixStartLevel  | CommandExtension                 | 35 - org.apache.karaf.shell.core - 4.2.1 | Unregistering commands for bundle org.apache.karaf.diagnostic.core/4.2.1
2018-09-29T13:30:59,633 | INFO  | FelixStartLevel  | CommandExtension                 | 35 - org.apache.karaf.shell.core - 4.2.1 | Unregistering commands for bundle org.apache.karaf.shell.commands/4.2.1
2018-09-29T13:30:59,634 | INFO  | FelixStartLevel  | CommandExtension                 | 35 - org.apache.karaf.shell.core - 4.2.1 | Unregistering commands for bundle org.apache.karaf.instance.core/4.2.1
2018-09-29T13:30:59,635 | INFO  | FelixStartLevel  | CommandExtension                 | 35 - org.apache.karaf.shell.core - 4.2.1 | Unregistering commands for bundle org.apache.karaf.log.core/4.2.1
2018-09-29T13:30:59,636 | INFO  | FelixStartLevel  | CommandExtension                 | 35 - org.apache.karaf.shell.core - 4.2.1 | Unregistering commands for bundle org.apache.karaf.service.core/4.2.1
2018-09-29T13:30:59,637 | INFO  | FelixStartLevel  | CommandExtension                 | 35 - org.apache.karaf.shell.core - 4.2.1 | Unregistering commands for bundle org.apache.karaf.features.command/4.2.1
2018-09-29T13:30:59,638 | INFO  | FelixStartLevel  | CommandExtension                 | 35 - org.apache.karaf.shell.core - 4.2.1 | Unregistering commands for bundle org.apache.karaf.kar.core/4.2.1
2018-09-29T13:30:59,639 | INFO  | FelixStartLevel  | CommandExtension                 | 35 - org.apache.karaf.shell.core - 4.2.1 | Unregistering commands for bundle org.apache.karaf.bundle.core/4.2.1
2018-09-29T13:30:59,640 | INFO  | FelixStartLevel  | CommandExtension                 | 35 - org.apache.karaf.shell.core - 4.2.1 | Unregistering commands for bundle org.apache.karaf.deployer.kar/4.2.1
2018-09-29T13:30:59,651 | INFO  | FelixStartLevel  | core                             | 14 - org.apache.aries.jmx.core - 1.1.8 | Unregistering org.osgi.jmx.framework.FrameworkMBean to MBeanServer org.apache.karaf.management.internal.EventAdminMBeanServerWrapper@2f10fb77 with name osgi.core:type=framework,version=1.7,framework=org.apache.felix.framework,uuid=90adb8ad-0e2e-4f11-9204-da55a686ef5a
2018-09-29T13:30:59,652 | INFO  | FelixStartLevel  | core                             | 14 - org.apache.aries.jmx.core - 1.1.8 | Unregistering org.osgi.jmx.framework.wiring.BundleWiringStateMBean to MBeanServer org.apache.karaf.management.internal.EventAdminMBeanServerWrapper@2f10fb77 with name osgi.core:type=wiringState,version=1.1,framework=org.apache.felix.framework,uuid=90adb8ad-0e2e-4f11-9204-da55a686ef5a
2018-09-29T13:30:59,652 | INFO  | FelixStartLevel  | core                             | 14 - org.apache.aries.jmx.core - 1.1.8 | Unregistering org.osgi.jmx.framework.ServiceStateMBean to MBeanServer org.apache.karaf.management.internal.EventAdminMBeanServerWrapper@2f10fb77 with name osgi.core:type=serviceState,version=1.7,framework=org.apache.felix.framework,uuid=90adb8ad-0e2e-4f11-9204-da55a686ef5a
2018-09-29T13:30:59,653 | INFO  | FelixStartLevel  | core                             | 14 - org.apache.aries.jmx.core - 1.1.8 | Unregistering org.osgi.jmx.service.cm.ConfigurationAdminMBean to MBeanServer org.apache.karaf.management.internal.EventAdminMBeanServerWrapper@2f10fb77 with name osgi.compendium:service=cm,version=1.3,framework=org.apache.felix.framework,uuid=90adb8ad-0e2e-4f11-9204-da55a686ef5a
2018-09-29T13:30:59,654 | INFO  | FelixStartLevel  | core                             | 14 - org.apache.aries.jmx.core - 1.1.8 | Unregistering org.osgi.jmx.framework.PackageStateMBean to MBeanServer org.apache.karaf.management.internal.EventAdminMBeanServerWrapper@2f10fb77 with name osgi.core:type=packageState,version=1.5,framework=org.apache.felix.framework,uuid=90adb8ad-0e2e-4f11-9204-da55a686ef5a
2018-09-29T13:30:59,655 | INFO  | FelixStartLevel  | core                             | 14 - org.apache.aries.jmx.core - 1.1.8 | Unregistering org.osgi.jmx.framework.BundleStateMBean to MBeanServer org.apache.karaf.management.internal.EventAdminMBeanServerWrapper@2f10fb77 with name osgi.core:type=bundleState,version=1.7,framework=org.apache.felix.framework,uuid=90adb8ad-0e2e-4f11-9204-da55a686ef5a
2018-09-29T13:30:59,656 | WARN  | FelixStartLevel  | core                             | 14 - org.apache.aries.jmx.core - 1.1.8 | Task rejected for JMX Notification dispatch of event [org.osgi.framework.ServiceEvent[source=[javax.management.MBeanServer]]] - Dispatcher may have been shutdown
2018-09-29T13:30:59,692 | INFO  | FelixStartLevel  | core                             | 14 - org.apache.aries.jmx.core - 1.1.8 | Stopping JMX OSGi agent
2018-09-29T13:30:59,693 | INFO  | FelixStartLevel  | core                             | 14 - org.apache.aries.jmx.core - 1.1.8 | Unregistering MBean with ObjectName [osgi.compendium:service=cm,version=1.3,framework=org.apache.felix.framework,uuid=90adb8ad-0e2e-4f11-9204-da55a686ef5a] for service with service.id [13]
